,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mnb__alpha,param_preproc,param_vect,param_vect__max_df,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,estimator,param_knn__n_neighbors,param_lsvc__penalty,param_sgd__penalty
13,13.173881610234579,0.12189598295708778,6.21070925394694,0.24665755561607042,0.1,FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>),TfidfVectorizer(),0.6,"{'mnb__alpha': 0.1, 'preproc': FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>), 'vect': TfidfVectorizer(), 'vect__max_df': 0.6}",0.7234888653234358,0.7332272606735614,0.7337576239724211,0.7301579166564727,0.004720699494016086,17,mnb,,,
14,12.867240111033121,0.13947157422401468,6.093449513117473,0.3026855342795075,0.1,FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>),TfidfVectorizer(),0.8,"{'mnb__alpha': 0.1, 'preproc': FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>), 'vect': TfidfVectorizer(), 'vect__max_df': 0.8}",0.7234888653234358,0.7332272606735614,0.7337576239724211,0.7301579166564727,0.004720699494016086,17,mnb,,,
15,12.64017367362976,0.267072138424834,6.201922416687012,0.24292482471963095,0.1,FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>),TfidfVectorizer(),1.0,"{'mnb__alpha': 0.1, 'preproc': FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>), 'vect': TfidfVectorizer(), 'vect__max_df': 1.0}",0.7234888653234358,0.7332272606735614,0.7337576239724211,0.7301579166564727,0.004720699494016086,17,mnb,,,
16,3.441282590230306,0.030525080957059702,0.9894110361735026,0.050239917673637724,0.01,,TfidfVectorizer(),0.4,"{'mnb__alpha': 0.01, 'preproc': None, 'vect': TfidfVectorizer(), 'vect__max_df': 0.4}",0.7473488865323435,0.7597454256165473,0.7639883320074251,0.7570275480521054,0.007059647312768817,4,mnb,,,
17,3.5101165771484375,0.112058999191511,1.408834457397461,0.312671221681461,0.01,,TfidfVectorizer(),0.6,"{'mnb__alpha': 0.01, 'preproc': None, 'vect': TfidfVectorizer(), 'vect__max_df': 0.6}",0.7478791092258749,0.760275788915407,0.7650490586051445,0.7577346522488089,0.007236243136251385,1,mnb,,,
18,3.356407721837362,0.18881231757526176,1.5013007322947185,0.17210733953605245,0.01,,TfidfVectorizer(),0.8,"{'mnb__alpha': 0.01, 'preproc': None, 'vect': TfidfVectorizer(), 'vect__max_df': 0.8}",0.7478791092258749,0.7597454256165473,0.7642535136568549,0.7572926828330924,0.006906144147963103,2,mnb,,,
19,2.989443858464559,0.013678253097313926,1.4976905981699626,0.11542331799521782,0.01,,TfidfVectorizer(),1.0,"{'mnb__alpha': 0.01, 'preproc': None, 'vect': TfidfVectorizer(), 'vect__max_df': 1.0}",0.7481442205726405,0.7594802439671174,0.7639883320074251,0.7572042655157277,0.006665534498340992,3,mnb,,,
20,13.297444423039755,0.3145658952891036,6.491379817326863,0.29777812872691656,0.01,FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>),TfidfVectorizer(),0.4,"{'mnb__alpha': 0.01, 'preproc': FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>), 'vect': TfidfVectorizer(), 'vect__max_df': 0.4}",0.722693531283139,0.7342879872712809,0.7398568019093079,0.7322794401545759,0.007149366442177301,11,mnb,,,
21,13.469197114308676,0.5633069183241025,6.68143614133199,0.3985354618380437,0.01,FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>),TfidfVectorizer(),0.6,"{'mnb__alpha': 0.01, 'preproc': FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>), 'vect': TfidfVectorizer(), 'vect__max_df': 0.6}",0.722693531283139,0.7342879872712809,0.7398568019093079,0.7322794401545759,0.007149366442177301,11,mnb,,,
22,12.939391215642294,0.2286829173575703,6.342965602874756,0.3404416769498428,0.01,FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>),TfidfVectorizer(),0.8,"{'mnb__alpha': 0.01, 'preproc': FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>), 'vect': TfidfVectorizer(), 'vect__max_df': 0.8}",0.722693531283139,0.7342879872712809,0.7398568019093079,0.7322794401545759,0.007149366442177301,11,mnb,,,
